survey,load_cmd,cy_data,wt,source,year,notes
eb381,"eb381 <- read_dta( ""gesis_files/ZA2295/ZA2295_v1-0-1.dta"")","data_frame(v5 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1992)","wt381 <- eb381$v6; wt[grep(""DE\\-"", eb381$isocntry)] <- eb381$v11[grep(""DE\\-"", eb381$isocntry)]",GESIS: ZA2295,1992,excluding Norway
eb39,"eb39 <- read_dta( ""gesis_files/ZA2346/ZA2346_v1-1-0.dta"")","data_frame(v5 = 1:15, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND""), y_dcpo=1993)","wt39 <- eb39$v6; wt[grep(""DE\\-"", eb39$isocntry)] <- eb39$v11[grep(""DE\\-"", eb39$isocntry)]",GESIS: ZA2346,1993,
eb391,"eb391 <- read_dta( ""gesis_files/ZA2347/ZA2347_v1-1-0.dta"")","data_frame(v6 = 1:14, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY""), y_dcpo=1993)","wt391 <- eb391$v7; wt[grep(""DE\\-"", eb391$isocntry)] <- eb391$v13[grep(""DE\\-"", eb391$isocntry)]",GESIS: ZA2347,1993,excluding Finland
eb39A,"eb39A <- read_dta( ""gesis_files/ZA2348/ZA2348_v1-0-1.dta"")","data_frame(v6 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1993)","wt39A <- eb39A$v7; wt[grep(""DE\\-"", eb39A$isocntry)] <- eb39A$v12[grep(""DE\\-"", eb39A$isocntry)]",GESIS: ZA2348,1993,excluding Norway and Finland
eb40,"eb40 <- read_dta( ""gesis_files/ZA2459/ZA2459_v1-1-0.dta"")","data_frame(v5 = 1:15, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND""), y_dcpo=1993)","wt40 <- eb40$v6; wt[grep(""DE\\-"", eb40$isocntry)] <- eb40$v11[grep(""DE\\-"", eb40$isocntry)]",GESIS: ZA2459,1993,
eb41,"eb41 <- read_dta( ""gesis_files/ZA2490/ZA2490_v1-1-0.dta"")","data_frame(v5 = 1:15, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND""), y_dcpo=1994)","wt41 <- eb41$v6; wt[grep(""DE\\-"", eb41$isocntry)] <- eb41$v11[grep(""DE\\-"", eb41$isocntry)]",GESIS: ZA2490,1994,Norway and Finland are weighted by 0
eb411,"eb411 <- read_dta( ""gesis_files/ZA2491/ZA2491_v1-1-0.dta"")","data_frame(v5 = 1:13, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY""), y_dcpo=1994)","wt411 <- eb411$v6; wt[grep(""DE\\-"", eb411$isocntry)] <- eb411$v11[grep(""DE\\-"", eb411$isocntry)]",GESIS: ZA2491,1994,excluding Norway and Finland
eb42,"eb42 <- read_dta( ""gesis_files/ZA2563/ZA2563_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1994)","wt42 <- eb42$v6; wt[grep(""DE\\-"", eb42$isocntry)] <- eb42$v11[grep(""DE\\-"", eb42$isocntry)]",GESIS: ZA2563,1994,
eb43,"eb43 <- read_dta( ""gesis_files/ZA2636/ZA2636_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt43 <- eb43$v6; wt[grep(""DE\\-"", eb43$isocntry)] <- eb43$v11[grep(""DE\\-"", eb43$isocntry)]",GESIS: ZA2636,1995,excluding Norway
eb431,"eb431 <- read_dta( ""gesis_files/ZA2637/ZA2637_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt431 <- eb431$v6; wt[grep(""DE\\-"", eb431$isocntry)] <- eb431$v11[grep(""DE\\-"", eb431$isocntry)]",GESIS: ZA2637,1995,
eb43+431,"eb43431 <- read_dta( ""gesis_files/ZA2638/ZA2638_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt43431 <- eb43431$v6; wt[grep(""DE\\-"", eb43431$isocntry)] <- eb43431$v11[grep(""DE\\-"", eb43431$isocntry)]",GESIS: ZA2638,1995,
eb431bis,"eb431bis <- read_dta( ""gesis_files/ZA2639/ZA2639_v1-1-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt431bis <- eb431bis$v6; wt[grep(""DE\\-"", eb431bis$isocntry)] <- eb431bis$v11[grep(""DE\\-"", eb431bis$isocntry)]",GESIS: ZA2639,1995,excluding Norway
eb44,"eb44 <- read_dta( ""gesis_files/ZA2689/ZA2689_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt44 <- eb44$v6; wt[grep(""DE\\-"", eb44$isocntry)] <- eb44$v11[grep(""DE\\-"", eb44$isocntry)]",GESIS: ZA2689,1995,excluding Norway
eb441,"eb441 <- read_dta( ""gesis_files/ZA2690/ZA2690_v1-0-1.dta"")","data_frame(v5 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1995)","wt441 <- eb441$v6; wt[grep(""DE\\-"", eb441$isocntry)] <- eb441$v11[grep(""DE\\-"", eb441$isocntry)]",GESIS: ZA2690,1995,
eb442,"eb442 <- read_dta( ""gesis_files/ZA2789/ZA2789_v1-0-1.dta"")","data_frame(v9 = 1:15, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)",wt442 <- eb442$v10,GESIS: ZA2789,1996,excluding Northern Ireland and Norway; thus I use NATION III(United Germany) instead of NATION II(Separate Germany)
eb442bis,"eb442bis <- read_dta( ""gesis_files/ZA2828/ZA2828_v1-0-1.dta"")","data_frame(v6 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt442bis <- eb442bis$v7; wt[grep(""DE\\-"", eb442bis$isocntry)] <- eb442bis$v12[grep(""DE\\-"", eb442bis$isocntry)]",GESIS: ZA2828,1996,excluding Norway
eb443,"eb443 <- read_dta( ""gesis_files/ZA2829/ZA2829_v1-0-1.dta"")","data_frame(v6 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt443 <- eb443$v7; wt[grep(""DE\\-"", eb443$isocntry)] <- eb443$v12[grep(""DE\\-"", eb443$isocntry)]",GESIS: ZA2829,1996,excluding Norway
eb443OVR,"eb443OVR <- read_dta( ""gesis_files/ZA2830/ZA2830_v1-0-1.dta"")","data_frame(v6 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt443OVR <- eb443OVR$v7; wt[grep(""DE\\-"", eb443OVR$isocntry)] <- eb443OVR$v12[grep(""DE\\-"", eb443OVR$isocntry)]",GESIS: ZA2830,1996,excluding Norway
eb451,"eb451 <- read_dta( ""gesis_files/ZA2831/ZA2831_v1-0-1.dta"")","data_frame(v6 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt451 <- eb451$v7; wt[grep(""DE\\-"", eb451$isocntry)] <- eb451$v12[grep(""DE\\-"", eb451$isocntry)]",GESIS: ZA2831,1996,excluding Norway
eb46,"eb46 <- read_dta( ""gesis_files/ZA2898/ZA2898_v1-0-1.dta"")","data_frame(v6 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt46 <- eb46$v7; wt[grep(""DE\\-"", eb46$isocntry)] <- eb46$v12[grep(""DE\\-"", eb46$isocntry)]",GESIS: ZA2898,1996,excluding Norway
eb461,"eb461 <- read_dta( ""gesis_files/ZA2899/ZA2899_v1-1-0.dta"")","data_frame(v6 = 1:17, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1996)","wt461 <- eb461$v7; wt[grep(""DE\\-"", eb461$isocntry)] <- eb461$v12[grep(""DE\\-"", eb461$isocntry)]",GESIS: ZA2899,1996,
eb47,"eb47 <- read_dta( ""gesis_files/ZA2935/ZA2935_v1-1-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1997)",wt47 <- eb47$v14,GESIS: ZA2935,1997,(1) excluding Norway; (2) a new weight variable for both United Kingdom and Germany
eb471,"eb471 <- read_dta( ""gesis_files/ZA2936/ZA2936_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1997)",wt471 <- eb471$v14,GESIS: ZA2936,1997,excluding Norway
eb472,"eb472 <- read_dta( ""gesis_files/ZA2937/ZA2937_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1997)",wt472 <- eb472$v14,GESIS: ZA2937,1997,excluding Norway
eb472OVR,"eb472OVR <- read_dta( ""gesis_files/ZA2938/ZA2938_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1997)",wt472OVR <- eb472OVR$v14,GESIS: ZA2938,1997,excluding Norway
eb48,"eb48 <- read_dta( ""gesis_files/ZA2959/ZA2959_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1997)",wt48 <- eb48$v14,GESIS: ZA2959,1997,excluding Norway
eb49,"eb49 <- read_dta( ""gesis_files/ZA3052/ZA3052_v1-1-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1998)",wt49 <- eb49$v14,GESIS: ZA3052,1998,excluding Norway
eb50,"eb50 <- read_dta( ""gesis_files/ZA3085/ZA3085_v1-1-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1998)",wt50 <- eb50$v14,GESIS: ZA3085,1998,excluding Norway
eb501,"eb501 <- read_dta( ""gesis_files/ZA3086/ZA3086_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1998)",wt501 <- eb501$v14,GESIS: ZA3086,1998,excluding Norway
eb51,"eb51 <- read_dta( ""gesis_files/ZA3171/ZA3171_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1998)",wt51 <- eb51$v14,GESIS: ZA3171,1998,excluding Norway
eb511,"eb511 <- read_dta( ""gesis_files/ZA3172/ZA3172_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1999)",wt511 <- eb511$v14,GESIS: ZA3172,1999,excluding Norway
eb52,"eb52 <- read_dta( ""gesis_files/ZA3204/ZA3204_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1999)",wt52 <- eb52$v14,GESIS: ZA3204,1999,excluding Norway
eb521,"eb521 <- read_dta( ""gesis_files/ZA3205/ZA3205_v2-0-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=1999)",wt521 <- eb521$v14,GESIS: ZA3205,1999,
eb53,"eb53 <- read_dta( ""gesis_files/ZA3296/ZA3296_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2000)",wt53 <- eb53$v14,GESIS: ZA3296,2000,excluding Norway
eb54,"eb54 <- read_dta( ""gesis_files/ZA3386/ZA3386_v1-0-1.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2000)",wt54 <- eb54$v14,GESIS: ZA3386,2000,excluding Norway
eb541,"eb541 <- read_dta( ""gesis_files/ZA3387/ZA3387_v1-1-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2000)",wt541 <- eb541$v14,GESIS: ZA3387,2000,
eb542,"eb542 <- read_dta( ""gesis_files/ZA3388/ZA3388_v1-1-0.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt542 <- eb542$v13,GESIS: ZA3388,2001,
eb54LAN,"eb54LAN <- read_dta( ""gesis_files/ZA3388/ZA3388_v1-1-0.dta"")","data_frame(v13 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt54LAN <- eb54LAN$v14,GESIS: ZA3389,2001,excluding Norway
eb55,"eb55 <- read_dta( ""gesis_files/ZA3506/ZA3506_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt55 <- eb55$v13,GESIS: ZA3506,2001,excluding Norway
eb551,"eb551 <- read_dta( ""gesis_files/ZA3507/ZA3507_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt551 <- eb551$v13,GESIS: ZA3507,2001,excluding Norway
eb551OVR,"eb551OVR <- read_dta( ""gesis_files/ZA3508/ZA3508_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt551OVR <- eb551OVR$v13,GESIS: ZA3508,2001,excluding Norway
eb552,"eb552 <- read_dta( ""gesis_files/ZA3509/ZA3509_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt552 <- eb552$v13,GESIS: ZA3509,2001,excluding Norway
eb56,"eb56 <- read_dta( ""gesis_files/ZA3625/ZA3625_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt56 <- eb56$v13,GESIS: ZA3625,2001,excluding Norway
eb561,"eb561 <- read_dta( ""gesis_files/ZA3626/ZA3626_v2-0-0.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt561 <- eb561$v13,GESIS: ZA3626,2001,
eb562,"eb562 <- read_dta( ""gesis_files/ZA3627/ZA3627_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2001)",wt562 <- eb562$v13,GESIS: ZA3627,2001,excluding Norway
eb563,"eb563 <- read_dta( ""gesis_files/ZA3635/ZA3635_v1-0-1.dta"")","data_frame(v12 = 1:16, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""UNITED KINGDOM"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""NORWAY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA""), y_dcpo=2002)",wt563 <- eb563$v13,GESIS: ZA3635,2002,excluding Norway
